,Pearson_r,Spearman_rho,|Pearson_r|,|Spearman_rho|
num__Absences,-0.9173244920988826,-0.92371486963073,0.9173244920988826,0.92371486963073
num__StudyTimeWeekly,0.20182077502731563,0.19098306060265377,0.20182077502731563,0.19098306060265377
cat__Tutoring_0,-0.14442362506410514,-0.1346472031635564,0.14442362506410514,0.1346472031635564
cat__Tutoring_1,0.144423625064105,0.1346472031635564,0.144423625064105,0.1346472031635564
cat__ParentalSupport_0,-0.12002182073133363,-0.11233310423930581,0.12002182073133363,0.11233310423930581
cat__ParentalSupport_4,0.09948301359995144,0.08926259491684319,0.09948301359995144,0.08926259491684319
cat__Music_0,-0.09042388936351357,-0.08700407020384217,0.09042388936351357,0.08700407020384217
cat__Music_1,0.09042388936351356,0.08700407020384217,0.09042388936351356,0.08700407020384217
cat__ParentalSupport_3,0.0827947753439484,0.07765801395895687,0.0827947753439484,0.07765801395895687
cat__Extracurricular_0,-0.07670557444323664,-0.06963843943591902,0.07670557444323664,0.06963843943591902
cat__Extracurricular_1,0.07670557444323663,0.06963843943591902,0.07670557444323663,0.06963843943591902
cat__Sports_1,0.07222010495185548,0.06351245625934353,0.07222010495185548,0.06351245625934353
cat__Sports_0,-0.07222010495185541,-0.06351245625934353,0.07222010495185541,0.06351245625934353
cat__ParentalSupport_1,-0.07170900466515538,-0.06684115857866335,0.07170900466515538,0.06684115857866335
cat__Ethnicity_0,-0.05352938547502186,-0.0545921422999516,0.05352938547502186,0.0545921422999516
cat__ParentalEducation_3,-0.05254466243155007,-0.049193429393516945,0.05254466243155007,0.049193429393516945
cat__Ethnicity_1,0.04019287938861798,0.04089843788880757,0.04019287938861798,0.04089843788880757
cat__ParentalEducation_2,0.035027562526846814,0.03225603342303378,0.035027562526846814,0.03225603342303378
cat__ParentalEducation_1,0.03426169972537874,0.034568754150607776,0.03426169972537874,0.034568754150607776
cat__ParentalEducation_4,-0.030096492006567832,-0.027505795759920404,0.030096492006567832,0.027505795759920404
cat__ParentalEducation_0,-0.024060004839048254,-0.02603762528892168,0.024060004839048254,0.02603762528892168
cat__Ethnicity_3,0.01717950221060244,0.017909417288843404,0.01717950221060244,0.017909417288843404
cat__Ethnicity_2,0.014670224700166197,0.014772462746625853,0.014670224700166197,0.014772462746625853
cat__ParentalSupport_2,-0.013734955587873082,-0.010668833112302933,0.013734955587873082,0.010668833112302933
num__Age,-0.009404383043572441,-0.011245270807287405,0.009404383043572441,0.011245270807287405
cat__Gender_0,0.0060736600128698795,0.004833303119340326,0.0060736600128698795,0.004833303119340326
cat__Gender_1,-0.006073660012869878,-0.004833303119340326,0.006073660012869878,0.004833303119340326
cat__Volunteering_1,-0.002186701512296799,-0.004363430021961749,0.002186701512296799,0.004363430021961749
cat__Volunteering_0,0.0021867015122967186,0.004363430021961749,0.0021867015122967186,0.004363430021961749
