,Pearson_r,Spearman_rho,|Pearson_r|,|Spearman_rho|
cat__StressLevel_0,-0.025879094409111042,-0.025850081945639796,0.025879094409111042,0.025850081945639796
cat__StressLevel_2,0.025862696274536825,0.02570078987934828,0.025862696274536825,0.02570078987934828
cat__LearningStyle_3,0.022750940836031658,0.02271154839596461,0.022750940836031658,0.02271154839596461
cat__LearningStyle_0,-0.022050178216036626,-0.02182478229509491,0.022050178216036626,0.02182478229509491
cat__Motivation_2,0.01733221414934492,0.01766037473780714,0.01733221414934492,0.01766037473780714
cat__Gender_1,-0.01719434537979519,-0.017182438519609603,0.01719434537979519,0.017182438519609603
cat__Gender_0,0.017194345379795067,0.017182438519609603,0.017194345379795067,0.017182438519609603
cat__Motivation_1,-0.01290167690511954,-0.012744315007991135,0.01290167690511954,0.012744315007991135
cat__Internet_0,0.01087720642397955,0.01100108780424907,0.01087720642397955,0.01100108780424907
cat__Internet_1,-0.010877206423979413,-0.01100108780424907,0.010877206423979413,0.01100108780424907
cat__Extracurricular_1,-0.010764688890477339,-0.01088363191432837,0.010764688890477339,0.01088363191432837
cat__Extracurricular_0,0.01076468889047733,0.01088363191432837,0.01076468889047733,0.01088363191432837
num__OnlineCourses,0.009618332107562588,0.009354700187829247,0.009618332107562588,0.009354700187829247
num__Age,-0.008986711865913393,-0.00969131979432705,0.008986711865913393,0.00969131979432705
num__StudyHours,0.007637872606067605,0.008178931864485615,0.007637872606067605,0.008178931864485615
cat__EduTech_0,-0.007398613085879476,-0.0063823948405928735,0.007398613085879476,0.0063823948405928735
cat__EduTech_1,0.007398613085879438,0.0063823948405928735,0.007398613085879438,0.0063823948405928735
num__Attendance,0.00612419458010902,0.005260663959836525,0.00612419458010902,0.005260663959836525
num__Resources,-0.005726991712137376,-0.006034765518805141,0.005726991712137376,0.006034765518805141
cat__StressLevel_1,-0.005596219922682449,-0.005443515114094545,0.005596219922682449,0.005443515114094545
cat__Discussions_0,-0.00197900222396058,-0.0026598437297987157,0.00197900222396058,0.0026598437297987157
cat__Discussions_1,0.0019790022239605464,0.0026598437297987157,0.0019790022239605464,0.0026598437297987157
cat__LearningStyle_1,-0.0015061138836441742,-0.0011660180475159831,0.0015061138836441742,0.0011660180475159831
cat__Motivation_0,-0.001149646227961526,-0.001613959015759048,0.001149646227961526,0.001613959015759048
cat__LearningStyle_2,0.00017951450733255105,-0.00034508229533697094,0.00017951450733255105,0.00034508229533697094
