,Pearson_r,Spearman_rho,|Pearson_r|,|Spearman_rho|
cat__StressLevel_0,0.04821849670189168,0.04803981198857932,0.04821849670189168,0.04803981198857932
cat__Discussions_1,-0.030276084585309428,-0.030628514414316316,0.030276084585309428,0.030628514414316316
cat__Discussions_0,0.0302760845853094,0.030628514414316316,0.0302760845853094,0.030628514414316316
cat__Gender_1,0.02195701957814078,0.022155989737765367,0.02195701957814078,0.022155989737765367
cat__Gender_0,-0.021957019578140707,-0.022155989737765367,0.021957019578140707,0.022155989737765367
num__Attendance,-0.02143639453813662,-0.020517113426222394,0.02143639453813662,0.020517113426222394
cat__StressLevel_2,-0.02032337244961654,-0.020168209945181443,0.02032337244961654,0.020168209945181443
cat__EduTech_0,-0.020312688845864013,-0.01989615634659148,0.020312688845864013,0.01989615634659148
cat__EduTech_1,0.020312688845864003,0.01989615634659148,0.020312688845864003,0.01989615634659148
cat__StressLevel_1,-0.020271715805586277,-0.020284565500640023,0.020271715805586277,0.020284565500640023
cat__LearningStyle_0,-0.01937292795838462,-0.01906886807194492,0.01937292795838462,0.01906886807194492
num__Age,-0.015328795164652168,-0.015813855347377417,0.015328795164652168,0.015813855347377417
num__OnlineCourses,0.01508235431283274,0.014961400830881027,0.01508235431283274,0.014961400830881027
cat__Extracurricular_0,0.013543524416703152,0.013652854624012865,0.013543524416703152,0.013652854624012865
cat__Extracurricular_1,-0.013543524416703123,-0.013652854624012865,0.013543524416703123,0.013652854624012865
cat__LearningStyle_1,0.012043107855970363,0.012006840899133269,0.012043107855970363,0.012006840899133269
cat__Motivation_0,0.007228008283900059,0.007115035375589229,0.007228008283900059,0.007115035375589229
num__StudyHours,0.00554161036784598,0.0065141970311536875,0.00554161036784598,0.0065141970311536875
cat__Internet_1,-0.005088296947626907,-0.004982339298955557,0.005088296947626907,0.004982339298955557
cat__Internet_0,0.005088296947626786,0.004982339298955557,0.005088296947626786,0.004982339298955557
cat__LearningStyle_2,0.00502922418605736,0.004802651089095537,0.00502922418605736,0.004802651089095537
num__Resources,0.0038756733202151266,0.00402869342225379,0.0038756733202151266,0.00402869342225379
cat__Motivation_2,-0.003639621336336678,-0.003491944795430876,0.003639621336336678,0.003491944795430876
cat__Motivation_1,-0.003631501231168046,-0.0036477883267998132,0.003631501231168046,0.0036477883267998132
cat__LearningStyle_3,0.0019069646601777574,0.001870952444944584,0.0019069646601777574,0.001870952444944584
